api_key,measured_at,lon,lat,bearing,alt,speed,mobile_id,accuracy
BULK LOADED,2015-02-04 06:58:48,-104.93776262646799,39.51981153607822,0.0,1795.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93783600212015,39.51980782506077,0.0,1812.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93789884374841,39.51992287243819,0.0,1832.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93775918135412,39.51993193334178,0.0,1811.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.9377463353673,39.51977038816756,0.0,1804.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.9377240187407,39.519776137480456,0.0,1795.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93776359176353,39.51986617114552,0.0,1805.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93836108983226,39.52028000310342,0.0,1920.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93828705945631,39.52014289615042,0.0,1894.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93792671703719,39.51985679784818,0.0,1831.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93734883546566,39.51956587916734,0.0,1707.0,0.0,a5c611cf9c7c24cf,15.0
BULK LOADED,2015-02-04 06:58:48,-104.93762256808243,39.51971144211516,0.0,1764.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93762126574845,39.51976425328902,0.0,1755.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93780218223554,39.519847625840136,0.0,1773.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.9378680828373,39.51993826571467,0.0,1801.0,0.0,a5c611cf9c7c24cf,10.0
BULK LOADED,2015-02-04 06:58:48,-104.93789377408467,39.51989349369362,0.0,1818.0,0.0,a5c611cf9c7c24cf,5.0
